"id","sighted_at","reported_at","location","shape","duration","description","latitude","longitude","case_number"
"90959","2018-03-22 23:37:00","2018-03-23 01:10:43","Chatsworth (United States)","Triangle","00:00:30","   i went to mcdonald's to get an ice caramel mochiato and on my way back home i noticed to my left what first looked like an airplane flying low. i almost thought it was an enormous drone but it was way to big. once i got closer i could see in more detail that it was flying too slow to be a plane and saw its triangular shape. it had a red light on one side, a blue on another, and a flashing white one at the possible tip. it also had a sound. it had a bit of engine noise like a big engine. amazed by the interesting sighting i stopped dead in the middle of the road. looked at it for a few more seconds then pulled into a nearby parking lot to see it outside of the car. unfortunately when i got out it was already leaving. i can't explain exactly how it left because there are no human words for it but i can try. when it left it looked like it was moving at the same speed as before it stoped (when i got a chance to see it) but in a matter of seconds with it going that same slow speed it was already miles away. i searched for it afterwards but i couldn't find it. i do remember hearing strange noises in the car engine but that could have been paranoia. other cars drove past but no one else seemed to notice.","34.7802531","-84.7697156","US-03232018-0001"
"90958","2017-10-13 07:45:00","2018-03-22 23:56:23","Los Angeles (United States)","Triangle","00:00:55","I was at the beach star gazing early morning and i did not  know what to think of the object at first but to film it.I seen three lights in a triangular distance from each other hovering over me some unknown distance.I lost sight as it hovered away from the celestial plane.","33.9892169","-118.4648432","US-03222018-0027"
"90917","2018-03-18 23:15:00","2018-03-21 09:51:20","Caledon (Canada)","Triangle","00:00:03","This event occurred at approximately 1015pm on sunday march 18, 2018 while i was out in the balcony having a smoke (tobacco) with my girlfriend. neither one of us were under the influence of any substances. the object in question appeared to be a triangular shaped object with dull amber lights at each corner. it's surface appeared to be cloudy and almost see through. my estimation would be that it was at definitely under 5000 feet but not less than 1000 above ground. it was spotted at about 45 degrees above the horizon in the se sky travelling nw-nnw in a straight line at a steady speed (relatively fast, significantly faster than an approaching/departing plane). the whole encounter took 3-4 seconds at most before the object was no longer visible (obstructed by rooftops). i am fully aware that this area is an approach/departure path taken by aircraft coming in and out of toronto pearson, and one such aircraft had just passed overhead a few moments earlier. there was absolutely no ambient noise nor visible exhaust generated by the object in question. both of us spoke about what we saw right after and have agreed that it is something we cannot identify.","43.89267546285162","-79.86261642913428","CA-03212018-0002"
"90913","2018-03-20 22:30:00","2018-03-20 23:43:31","Syracuse (United States)","Other","00:02:30","There have been a few times that myself and my friend have been driving down west genesee street and we've seen suspicious lights in the sky in the same spot before fairmount fair between parsons drive and terry road.  the first time we saw them it was two white circular lights following us at tree level at the speed of our car. the lights looked like they were on a cylindar with blue green and red flashing lights above and below the circle lights.  eventually the ufo slowly dipped below tree level and we couldn't see it anymore. the second time i saw it i was driving by myself in the same location and i saw the same two lights doing the same thing. i remember thinking they looked like headlights in the sky.  at that exact moment the 2 lights formed a third directly above the other two.  so now there's 3 circular lights shaped like a triangle.  i watch the lights slowly morph together to form one triangular light in the sky still traveling at tree level horizonally at the speed of my car.  i lost it in the trees. the third time i'm with my same friend as before driving down the same road. we see a triangular shape in the sky that looked exactly like the craft i saw the second time.  as we drove we noticed that we were passing it in the sky.  my friend said that it looked like car headlights.  we both lost it as it appeared to go below tree level and land somwhere beyond out knowledge.  ","43.0471998","-76.2005535","US-03202018-0021"
"90901","2018-02-20 20:30:00","2018-03-20 13:28:57","Myrtle Beach (United States)","Triangle","00:10:00","I was in my backyard letting my dog out when i looked up and seen a solid red light about 500' up in the sky about the size of a golf ball. below and slightly behind that diagonally 100' lower towards me was another red light the same as the top. below that another 100' toward me and behind was what looked like what a tr-3b has been described as. a triangular craft of some type with bright white, yellow/gold, blue, and red lights on the bottom of various sizes and on the side of the craft. i would estimate the side was approx. 12' tall... and each side of the triangle maybe 30' long. that bottom triangle craft was just 300' above and in front of me. now what seemed weird is it was like the single red lights were pulling the tr-3b. the top one appeared to be connected somehow to the lower red light but by what i could not tell but i did see a very faint outline near the red light of something that seemed to be maybe 10' wide and black that led to the red light below that. the red lights seemed to be small though like the size of a basketball about 500' up. i'd guess the size of one of those tiny cars (le-car)...Maybe actual size 15' in diameter for each red light. the whole thing was completely silent which considering how close it was amazed me in-and-of-itself. now it was heading towards the myrtle beach int. airport at approx. 45 mph.. very slowly but steady. now being as my close proximity to the airport i am quite used to seeing and hearing all types of aircraft go by from commercial craft to private planes and jets of all sizes along with all types of military helicopters and jets. i have never seen anything like this. there was no sound either upon approach, as it was dead in front of me diagonally or as it departed on its way. once it got closer to where i estimated the airport to be the red lights sped up and circled in a weird way but then was out of my sightline due to trees and distance. if you take a pencil and put it in the air to your upper right hand and extend your arm out.. and have the eraser end facing your direction (but not facing you)and the lead end facing away from you and downward from the eraser and then slowly move the pencil from your right to your left not changing the direction of it then you can get an idea how i seen it. kind of like the following: **<-------                                        **<i...And move to the left of your screen never changing direction. the top two ** representing a single red light and 100' below that again another red single light and then the triangle craft below that which was lit up like uncle mack on saint paddys day. my wife was also witness to the same thing. those two red lights were in no way, shape, or form big enough to tow that craft by any standard by what ""we the people"" are aware of. especially when they were close enough that i could see they had no wings and were silent yet that is exactly what it appeared they were doing... towing the tr-3b (or whatever the name is of the triangular craft that we have supposedly had for decades now in the shadow government.","33.67467182699916","-78.96409330832005","US-03202018-0009"
"90844","2018-03-09 03:27:00","2018-03-18 11:37:04","Canton (United States)","Triangle","00:05:00","While traveling westbound on ford rd towards i275 on 3/9/18 at 2:27 am after late night bingo we saw what was a type of aircraft flying extremely low for a plane. it banked while we were getting onto the expressway letting us both get a good visual to shape, color, and some distinguishing lights. it was a larger, black triangular shape with a series of lights underneath, but even more so, the three rectangular lights it had on the top back portion when it banked 2 more times. this was at 2:27 in the morning with no other planes in the sky as well as flying extremely low. we managed to pace with it for some time before the wall on i275 blocked our view. after about 20 seconds of our view being blocked the object was gone.","42.3242818","-83.4421852","US-03182018-0010"
"90838","2018-03-17 01:00:00","2018-03-18 04:22:49"," (United States)","Triangle","00:01:30","I was outside having a smoke admiring how blue the sky has been the last few days.  the sky was extremely blue with several white puffy clouds.   i was looking at the clouds when i noticed what i thought was a few pieces of small clouds moving fast in a v shape.  then i noticed they were not clouds and moving very smoothly in a v shaped formation.  i made out 6 semi triangular vehicles that resembled nothing i can compare it to. not like other ufo triangles i've seen described.  they had white bodies and what appeared to be black wings.  they were moving very, very fast and smoothly, unlike anything i've ever witnessed, with no sound at all.  they were very high up in the sky.  they glided together and moved perfectly together, extremely close to one another in the v shape but then they moved in a crooked line and back to the v shape, very smoothly and with perfect synchrony.  they flew directly overhead of us, made a turn and disappeared near the sun.  absolutely no sound, exhaust or movement besides the gliding. as they turned they were in a crooked line again and one of them changed shape by appearing to open, extend, rotate or adjust its wing, very hard to explain.  the way they were gliding was amazing. i lost sight when they got near the sun and they completely vanished.  i looked at the sky for another few minutes with no sign at all of them. i was wearing sunglasses and only saw white and black.  my boyfriend who also witnessed them saw gold/ white vehicle body and black wings and sparkles when they disappeared.  he was not wearing sunglasses. i felt very calm and a strange sense of excitement and  happy energy while witnessing it.  i feel it still as i write this and feel extremely lucky for some reason.  i was not scared.","36.784861","-119.4148824","US-03182018-0004"
"90830","2018-03-17 22:18:00","2018-03-17 23:11:24","Akron (United States)","Triangle","00:00:10","     i walked outside to take some trash to a container in my back yard, and looked up into the sky directly above me and noticed a dark, triangular object in the sky traveling completely silent from the west in a straight flight path to the east.The object was flying at a speed no less than 200 mph, and was emitting orange light from the underside of the object.I am quite familiar with all current commercial and military aircraft that is publicly known.This was certainly nothing that i could classify as a known aircraft or uav.This object looked to be flying toward the ravenna national guard armory near kent state, or more likely heading toward the lockheed martin installation.This is not the first time i have seen this aircraft and it has taken the same flight path.","41.07724710249661","-81.53257858426763","US-03172018-0014"
"90829","1977-04-08 02:00:00","2018-03-17 22:26:08","Corpus Christi (Padre Isl (United States)","Triangle","00:00:15","Siting took place during a childhood camping trip along the national seashore on padre island near corpus christi, tx in 1977. we were sleeping in our rv on the beach and i woke up because i was hot. when i went to open the roof vent more, i remember seeing this large triangular-shaped craft silently moving in a ne direction over our rv. i distinctly remember seeing an exhaust plume that was multi-colored and lights on each of the three corners. i believe one was orange and the other two corners had blue-white colored lights.","27.464076","-97.29766169999999","US-03172018-0013"
"90799","2000-01-05 04:30:00","2018-03-16 04:46:38","Arnold (United States)","Triangle","02:00:00","Ok let's begin. we were visiting a friend of ours that lived in the apartments next to where the ufo encounter started for us. we visited for awhile and then our friend went to bed. at that time it was really late, way after 2am. we were both into astronomy and so we decided to sit on the ground next to the apartment(west side of building) and stargaze. we were looking at the stars and admiring the beauty of it all. and it's important to note that from our vantage point we were looking in the eastern sky. after about two hours we were looking up i noticed a white star that seemed a little unusual. it was bigger than all the rest of the stars and there was something about it that didn't seem right and it got my attention. i told my friend to look at the unusual star and so we both starred at it. the star was up about 40 to 45 degrees from the horizon. we were starring and watching this unusual white star for at least 30 minutes. as we were watching this unusually bright star, the rays of the star began to get bigger and bigger. which we both looked at each other in amazement and astonishment. the rays of what appeared to be a bright white star began to almost come directly at us or it appeared that way. as this was going on the wind began to pick up and we heard some rustling in the tall dead grass next to us. we both got a little frightened after that since the rays of the star was unusual enough. we both proceeded to get up from sitting on the ground and try and see if our friend that lived in the apartment was still awake or not. we were going to tell him about the unusually bright star. we couldn't get anyone to answer the door that early in the morning. we then proceeded to go knock on another person's door that he knew that was directly across from the other apartment we were just at. at this point a few hours had passed. as he was opening up the metal screen door to his other friends apartment i was behind him. something caught my attention and we then both turned around looking up and witnessed a large object coming out of the sky. we both were in amazement. we walked out away from the apartment and slightly towards whatever was coming out of the sky. then all i can remember is that there was this blackish grey triangular craft gliding over the top of us. time seemed to slow down at this point. as it was going over us i got a good look at it. it had one small red light directly in the middle of the craft. it had three slightly larger white lights on each corner of the craft. i also noticed that there was multicolored lights moving in between the white lights. like in a pulsating pattern. i remember as the craft was floating over us we both were saying, ""wow"" in total amazement and astonishment. i remember feeling that there was this low humming vibration going through my body and concentrating in my chest.(later on my friend confirms this as well)there was a really low sound but this may have been this low humming sound/vibration. as it floated over us i remember watching it float/glide away from us and again it seemed like an eternity as we both watched it float away. i remember feeling sad that it was going away. we then watched it float up and over these nearby houses. it was moving very slow. in my mind i was thinking that it almost looked unreal at how it was floating and moving up and over the houses. we then frantically went back to his car(chevell) and got in. we just sat there with our jaws open and not saying a word, except for ""did you see that"". as we were pondering in disbelief as to what just occurred we both started to feel as though we were telepathically communicating with each other. this was shocking and scary to us. we almost couldn't look at each other. he then said that he just saw some symbols on my forehead. which was really strange to me. and if the ufo encounter wasn't strange enough. we sat there in his car for a long time trying to take all of the experience in. we were both still in a state of shock. we both agreed that we wouldn't say anything to each other about what we just experienced and that we both would draw on a piece of paper what we saw when he dropped me off at my house. at this point i remember as we were sitting in his car that a trash truck was coming up to the apartments and began to take the trash. we both thought this was unusual and we were thinking why a trash truck would be working this early in the morning. so at this point the time had to have been in the early hours before the sun was to come up. he then proceeded to take me to my house and drop me off. there wasn't alot of talking between us as we were still trying to process what had happened to us. when we pulled up in the front of my house we both agreed to draw what we had witnessed. he got out a piece of small paper which i think it was a receipt and he ripped it in half. he gave me a pencil and we both began to draw what we had seen. we then looked at each other's drawing and it was an exact match. a triangle craft with one light in the middle and three on each corner. we just sat there in disbelief. we said our good byes and i went into my house to go to bed since it was getting light out. so that's the main part of the ufo encounter me and my friend had. now on to the rest... the next afternoon we contacted each other on the phone and as we were discussing the incident some very unusual memories began to emerge. for one we both remember seeing the highway and a bunch of red tail lights going north on the highway. there was a bunch of emergency vehicles going north on 55hwy. and the memory is up in the air somehow looking down and north towards the highway. also the tail lights seemed blurred or elongated. but was definitely a birds eye view of the highway going north. the strange thing is is that from where we were at at the time of the encounter there's no way physically possible to see the highway. this is very strange to me. another strange thing is that about a week later i was working as a janitor at a school mopping the floors when all of a sudden this thought of a blueprint of some sort came into my mind. i don't remember what it was or meant but i talked to my friend at the time about it and he said the same thing happened to him. so that's a mystery as to whether it was related to our encounter. and we weren't sure whether we was abducted but we may have been. that would account for seeing the tail lights go down the highway. one final note i want to add is that my friend said that after he dropped me off he went into the 711 right up the road from the apartments and there was emergency personnel in the gas station talking about something. i'm assuming they got word of the incident from it being reported or saw the craft as well. i'm also willing to take a polygraph test if necessary.","38.4029258","-90.38873129999999","US-03162018-0007"
